,vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
15,10/12/21,0.004067719045981763,0,0,0,0,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988
16,10/13/21,0.004067719045981763,0,0,0,0,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988
17,10/14/21,0.004067719045981765,0,0,0,0,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988,7454.760149999994,1378.1572874999988
18,10/15/21,0.0040677190459817705,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
19,10/16/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
20,10/17/21,0.004067719045981758,0,0,0,0,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996
21,10/18/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
22,10/19/21,0.004067719045981773,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
23,10/20/21,0.004067719045981757,0,0,0,0,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996
24,10/21/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
25,10/22/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
26,10/23/21,0.004067719045981757,0,0,0,0,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996
27,10/24/21,0.004067719045981777,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
28,10/25/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
29,10/26/21,0.004067719045981761,0,0,0,0,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996
30,10/27/21,0.004067719045981764,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
31,10/28/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
32,10/29/21,0.004067719045981761,0,0,0,0,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996
33,10/30/21,0.004067719045981764,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
34,10/31/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
35,11/01/21,0.004067719045981761,0,0,0,0,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996,7454.760149999978,1378.157287499996
36,11/02/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
37,11/03/21,0.004067719045981771,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
38,11/04/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
39,11/05/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
40,11/06/21,0.004067719045981769,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
41,11/07/21,0.004067719045981749,0,0,0,0,7454.760149999946,1378.1572874999902,7454.760149999946,1378.1572874999902,7454.760149999946,1378.1572874999902
42,11/08/21,0.004067719045981764,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
43,11/09/21,0.004067719045981781,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
44,11/10/21,0.0040677190459817575,0,0,0,0,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018,7454.760150000009,1378.1572875000018
