,vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
0,09/26/21,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,09/27/21,0.0025176555779020263,0,0,0.0,0.0,3603.7426005855687,666.221853867586,2240.71694643877,985.2083049481929,2358.6774473098244,1861.2801372276901
2,09/28/21,0.0025176555779020263,0,0,0.0,0.0,3603.7426005855687,666.221853867586,2240.71694643877,985.2083049481929,2358.6774473098244,1861.2801372276901
3,09/29/21,0.002517655577902026,0,0,0.0,0.0,3603.742600585568,666.2218538675859,2240.7169464387694,985.2083049481928,2358.677447309825,1861.2801372276904
4,09/30/21,0.0025176555779020263,0,0,0.0,0.0,3603.7426005855705,666.2218538675863,2240.71694643877,985.208304948193,2358.677447309824,1861.2801372276897
5,10/01/21,0.0025176555779020263,0,0,0.0,0.0,3603.742600585568,666.2218538675859,2240.71694643877,985.208304948193,2358.677447309825,1861.2801372276904
6,10/02/21,0.002517655577902026,0,0,0.0,0.0,3603.742600585568,666.2218538675859,2240.716946438769,985.2083049481926,2358.677447309825,1861.2801372276904
7,10/03/21,0.0025176555779020276,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.716946438771,985.2083049481936,2358.677447309825,1861.2801372276904
8,10/04/21,0.0025176555779020254,0,0,0.0,0.0,3603.742600585568,666.2218538675859,2240.716946438769,985.2083049481926,2358.677447309823,1861.2801372276888
9,10/05/21,0.002517655577902027,0,0,0.0,0.0,3603.742600585568,666.2218538675859,2240.716946438771,985.2083049481936,2358.6774473098267,1861.280137227692
10,10/06/21,0.0025176555779020254,0,0,0.0,0.0,3603.742600585568,666.2218538675859,2240.716946438769,985.2083049481926,2358.677447309823,1861.2801372276888
11,10/07/21,0.0025176555779020263,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.716946438769,985.2083049481926,2358.677447309823,1861.2801372276888
12,10/08/21,0.0025176555779020254,0,0,0.0,0.0,3603.742600585562,666.2218538675847,2240.716946438769,985.2083049481926,2358.6774473098267,1861.280137227692
13,10/09/21,0.0025176555779020276,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387734,985.2083049481946,2358.677447309823,1861.2801372276888
14,10/10/21,0.0025176555779020276,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.716946438769,985.2083049481926,2358.6774473098267,1861.280137227692
15,10/11/21,0.0025176555779020237,0,0,0.0,0.0,3603.742600585562,666.2218538675847,2240.716946438769,985.2083049481926,2358.677447309823,1861.2801372276888
16,10/12/21,0.0025176555779020263,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.716946438769,985.2083049481926,2358.677447309823,1861.2801372276888
17,10/13/21,0.0025176555779020263,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.716946438769,985.2083049481926,2358.677447309823,1861.2801372276888
18,10/14/21,0.002517655577902025,0,0,0.0,0.0,3603.742600585562,666.2218538675847,2240.7169464387734,985.2083049481946,2358.677447309823,1861.2801372276888
19,10/15/21,0.0025176555779020254,0,0,0.0,0.0,3603.742600585562,666.2218538675847,2240.7169464387644,985.2083049481906,2358.67744730983,1861.2801372276947
20,10/16/21,0.0025176555779020276,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387734,985.2083049481946,2358.677447309823,1861.2801372276888
21,10/17/21,0.002517655577902025,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387644,985.2083049481906,2358.677447309823,1861.2801372276888
22,10/18/21,0.002517655577902025,0,0,0.0,0.0,3603.742600585562,666.2218538675847,2240.7169464387734,985.2083049481946,2358.677447309823,1861.2801372276888
23,10/19/21,0.0025176555779020306,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387734,985.2083049481946,2358.67744730983,1861.2801372276947
24,10/20/21,0.0025176555779020224,0,0,0.0,0.0,3603.742600585562,666.2218538675847,2240.7169464387644,985.2083049481906,2358.677447309823,1861.2801372276888
25,10/21/21,0.0025176555779020276,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387734,985.2083049481946,2358.677447309823,1861.2801372276888
26,10/22/21,0.0025176555779020276,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387734,985.2083049481946,2358.677447309823,1861.2801372276888
27,10/23/21,0.0025176555779020224,0,0,0.0,0.0,3603.742600585562,666.2218538675847,2240.7169464387644,985.2083049481906,2358.677447309823,1861.2801372276888
28,10/24/21,0.0025176555779020337,0,0,0.0,0.0,3603.7426005855837,666.2218538675888,2240.7169464387734,985.2083049481946,2358.67744730983,1861.2801372276947
29,10/25/21,0.0025176555779020224,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387644,985.2083049481906,2358.677447309816,1861.2801372276836
30,10/26/21,0.0025176555779020254,0,0,0.0,0.0,3603.742600585551,666.2218538675827,2240.7169464387734,985.2083049481946,2358.67744730983,1861.2801372276947
31,10/27/21,0.0025176555779020254,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387734,985.2083049481946,2358.677447309816,1861.2801372276836
32,10/28/21,0.002517655577902028,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387644,985.2083049481906,2358.67744730983,1861.2801372276947
33,10/29/21,0.0025176555779020306,0,0,0.0,0.0,3603.7426005855727,666.2218538675868,2240.7169464387734,985.2083049481946,2358.67744730983,1861.2801372276947
