vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
2/1/22,0.001366665,0,0,693.6979488,102.8020512,2754.986743,509.3132567,1058.981857,465.6181427,432.1112789,340.9887211
2/2/22,0.001392586,0,0,589.4472966,87.35270335,2717.00788,502.29212,1088.363291,478.5367099,567.9320534,448.1679466
2/3/22,0.000795432,0,0,418.5702878,62.02971221,1819.187552,336.3124483,550.1204454,241.8795546,152.4210914,120.2789086
2/4/22,0.000967402,0,0,469.5198547,69.58014535,2013.639332,372.2606682,765.7926654,336.7073346,264.5989904,208.8010096
2/5/22,0.001077083,0,0,554.1745196,82.12548041,2131.373808,394.026192,811.4276569,356.7723431,380.8012085,300.4987915
2/6/22,0.001072054,0,0,825.3829832,122.3170168,2143.527044,396.2729558,747.0385593,328.4614407,237.4348354,187.3651646
2/7/22,0.000675692,0,0,560.4452355,83.05476449,1367.239079,252.7609215,456.9750518,200.9249483,124.2508567,98.04914334
2/8/22,0.000918654,0,0,480.4936075,71.20639249,1722.721239,318.478761,737.6615062,324.3384938,346.0914551,273.1085449
2/9/22,0.001086175,0,0,478.9259285,70.97407147,2103.26945,388.8305509,865.1894277,380.4105723,428.0869597,337.8130403
2/10/22,0.000864491,0,0,464.8168177,68.8831823,1808.55347,334.34653,643.2658389,282.8341611,234.4165961,184.983404
2/11/22,0.001192761,0,0,527.5239769,78.17602307,2451.155837,453.1441631,913.9501035,401.8498965,404.4440841,319.1559159
2/12/22,0.001053096,0,0,547.9038037,81.19619633,2129.854654,393.7453466,778.2954028,342.2045972,350.1157743,276.2842257
2/13/22,0.000967982,0,0,772.0818979,114.4181021,1946.796532,359.9034676,667.02104,293.27896,195.6825233,154.4174767
2/14/22,0.000521906,0,0,431.1117196,63.88828037,1012.516495,187.1835046,361.3291107,158.8708893,119.2204576,94.07954241
2/15/22,0.000686718,0,0,387.2167082,57.38329183,1356.604997,250.7950031,526.3652443,231.4347557,215.3010796,169.8989204
2/16/22,0.000705095,0,0,234.3680076,34.73199242,1464.464968,270.7350314,537.6177079,236.3822921,280.6962674,221.5037327
2/17/22,0.000482443,0,0,230.4488102,34.15118988,927.4438413,171.4561584,353.8274683,155.5725317,207.7554811,163.9445189
2/18/22,0.000621915,0,0,282.966056,41.93394403,1220.640666,225.6593338,461.9761467,203.1238533,255.5442721,201.6557279
2/19/22,0.000600636,0,0,326.8610674,48.43893257,1199.372503,221.7274972,439.4712194,193.2287806,204.2342017,161.1657983
2/20/22,0.000585161,0,0,418.5702878,62.02971221,1179.623494,218.0765061,421.3422502,185.2577498,132.8025351,104.7974649
2/21/22,0.000429634,0,0,322.1580305,47.74196952,834.7754152,154.3245848,295.0646025,129.7353975,120.2265374,94.87346256
2/22/22,0.000510299,0,0,403.6773375,59.82266254,973.7780544,180.0219452,330.0722672,145.1277328,157.4514905,124.2485096
2/23/22,0.000660603,0,0,305.6974012,45.30259881,1315.587824,243.2121755,496.9838114,218.5161886,250.513873,197.686127
2/24/22,0.000451686,0,0,290.0206114,42.97938862,943.3949643,174.4050358,278.8110439,122.5889561,139.3420539,109.9579461
2/25/22,0.000690974,0,0,217.9073783,32.29262172,1349.768802,249.5311986,586.3783838,257.8216163,291.2601054,229.8398946
2/26/22,0.000688265,0,0,326.0772279,48.32277206,1478.13736,273.2626407,479.4799791,210.8200209,215.8041195,170.2958805
