,vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
0,12/14/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12/15/20,7.924263050730905e-05,0,0,63.5596,9.4191,176.96760000000003,32.715900000000005,59.7988,26.292600000000004,0.0,0.0
2,12/16/20,9.3899462229839e-05,0,0,63.5596,9.4191,176.96760000000003,32.715900000000005,59.7988,26.292600000000004,38.1222,30.083000000000002
3,12/17/20,0.0008921154943348788,0,0,603.8162,89.48145000000001,1946.6436,359.87489999999997,657.7868000000001,289.2186,114.3666,90.249
4,12/18/20,0.0015475288897007077,0,0,1080.5132,160.12470000000002,3362.3844,621.6021,1136.1772,499.55940000000004,190.611,150.415
5,12/19/20,0.001128817593303929,0,0,730.9354,108.31964999999998,2477.5464,458.0226,837.1832,368.0964000000001,152.48880000000003,120.33200000000002
6,12/20/20,0.0005761707648585199,0,0,413.13739999999996,61.22415,1238.7732,229.0113,418.5916,184.04820000000004,76.24439999999996,60.16599999999997
7,12/21/20,0.0012305583676714713,0,0,826.2747999999998,122.44829999999997,2654.514,490.73850000000004,896.9820000000001,394.38900000000007,190.61100000000005,150.41500000000005
8,12/22/20,0.001065257587072027,0,0,730.9354000000002,108.31965000000004,2300.5788000000002,425.3067,777.3844,341.8038,152.4887999999999,120.33199999999994
9,12/23/20,0.0009146136381951122,0,0,635.5959999999999,94.19099999999999,1946.6435999999999,359.87489999999997,657.7868,289.2186,152.48880000000014,120.3320000000001
10,12/24/20,0.001143474425026459,0,0,730.9354,108.31964999999998,2477.5464,458.0226,837.1832,368.0964000000001,190.61099999999996,150.41499999999996
11,12/25/20,0.00017314209273714822,0,0,127.1192000000001,18.83820000000002,353.93520000000035,65.43180000000005,119.59760000000011,52.58520000000005,38.122200000000035,30.083000000000023
12,12/26/20,0.00015745946846174104,0,0,63.55960000000005,9.41910000000001,353.93520000000035,65.43180000000005,119.59760000000011,52.58520000000005,38.12219999999982,30.08299999999986
13,12/27/20,7.924263050730913e-05,0,0,63.55960000000005,9.41910000000001,176.96760000000017,32.715900000000026,59.79880000000006,26.292600000000025,0.0,0.0
14,12/28/20,0.0004176855038439004,0,0,286.01819999999987,42.38594999999999,884.8379999999968,163.57949999999943,298.99399999999895,131.46299999999954,76.24440000000007,60.16600000000005
15,12/29/20,0.00045484047942666533,0,0,317.7980000000003,47.09550000000004,884.8380000000008,163.57950000000017,298.99400000000026,131.4630000000001,152.4887999999999,120.33199999999994
16,12/30/20,0.00087150019071769,0,0,540.2565999999997,80.06234999999997,1769.6760000000015,327.15900000000033,597.9880000000005,262.9260000000002,266.85540000000003,210.58100000000002
17,12/31/20,0.0009732409650852312,0,0,635.5959999999999,94.19099999999999,1946.6435999999978,359.8748999999996,657.7867999999992,289.2185999999997,304.9776000000003,240.6640000000002
18,01/01/21,0.0006044586357507029,0,0,349.57780000000025,51.805050000000044,1238.773200000001,229.0113000000002,418.5916000000004,184.04820000000018,190.61099999999973,150.4149999999998
19,01/02/21,0.00018779892445967798,0,0,127.1191999999994,18.83819999999991,353.93520000000035,65.43180000000005,119.59760000000011,52.58520000000005,76.24440000000007,60.16600000000005
20,01/03/21,0.0003384428733365928,0,0,222.4586000000002,32.96685000000003,707.8704000000007,130.8636000000001,239.19520000000023,105.1704000000001,76.24440000000007,60.16600000000005
21,01/04/21,0.0006709272747785262,0,0,381.35760000000033,56.514600000000044,1238.773200000001,229.0113000000002,418.5916000000004,184.04820000000018,343.0997999999999,270.7469999999999
22,01/05/21,0.0011531985774072056,0,0,730.9354,108.31964999999998,2300.578799999998,425.30669999999964,777.3843999999993,341.80379999999974,381.2219999999999,300.8299999999999
23,01/06/21,0.0013643526934172842,0,0,794.495,117.73875,2477.5463999999984,458.02259999999967,837.1831999999995,368.0963999999998,724.3218000000002,571.5770000000002
24,01/07/21,0.001304699573974287,0,0,730.9354,108.31964999999998,2477.5463999999984,458.02259999999967,837.1831999999995,368.0963999999998,609.9551999999996,481.32799999999975
25,01/08/21,0.001046525123697884,0,0,635.5959999999999,94.19099999999999,1946.6436000000058,359.87490000000105,657.786800000002,289.21860000000083,495.58860000000044,391.0790000000004
26,01/09/21,0.0005633967733790341,0,0,381.35760000000033,56.514600000000044,1061.805600000001,196.2954000000002,358.79280000000034,157.75560000000013,228.73319999999933,180.49799999999948
27,01/10/21,0.00048312835031884656,0,0,254.23839999999953,37.67639999999993,884.8379999999968,163.57949999999943,298.99399999999895,131.46299999999954,266.8554000000002,210.58100000000022
28,01/11/21,0.0007130149297030719,0,0,413.1373999999997,61.22414999999995,1415.7408000000014,261.7272000000002,478.39040000000045,210.3408000000002,266.8554000000002,210.58100000000022
29,01/12/21,0.0014202401323741944,0,0,921.6142000000001,136.57695,2831.481600000003,523.4544000000004,956.7808000000009,420.6816000000004,457.46639999999957,360.99599999999964
30,01/13/21,0.001036800971317132,0,0,635.5960000000006,94.19100000000007,2123.611199999994,392.5907999999989,717.585599999998,315.5111999999991,304.9776000000003,240.6640000000002
31,01/14/21,0.0016107789447670838,0,0,921.6142000000001,136.57695,2831.481600000003,523.4544000000004,956.7808000000009,420.6816000000004,953.055,752.075
32,01/15/21,0.001147240105512548,0,0,667.3757999999999,98.90054999999998,2123.611200000002,392.5908000000004,717.5856000000007,315.51120000000026,571.8330000000005,451.24500000000046
