,vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
0,12/13/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12/14/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12/15/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12/16/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12/17/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12/18/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,12/19/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12/20/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,12/21/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,12/22/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12/23/20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12/24/20,0.007211788983587731,0,0,1.5785028218771537,0.23392337159993296,18968.3422670852,3506.666693653148,6409.558052213934,2818.1827401827477,1036.9999226849955,818.3176383874152
12,12/25/20,0.0005501997671743095,0,0,0.7892514109385769,0.11696168579996648,1442.4883767999677,266.6720093765755,487.42862505105967,214.31476663440554,83.01894217610811,65.51192841661448
13,12/26/20,0.00012478990058165855,0,0,0.0,0.0,334.3012942470956,61.802090961614184,112.96314260024558,49.66813252324824,12.280908605933153,9.691113671096817
14,12/27/20,6.864198827281945e-05,0,0,0.0,0.0,176.91919143596292,32.70695073617893,59.78244235012996,26.28540779639436,13.263381294407806,10.466402764784561
15,12/28/20,9.421963904050657e-05,0,0,0.0,0.0,234.98776040420842,43.442054198667115,79.40428692517263,34.91282691975079,25.54428990034096,20.157516435881377
