,date,admits
318,1/11/21,0
319,1/12/21,2562
320,1/13/21,855
321,1/14/21,1985
322,1/15/21,1813
323,1/16/21,1472
324,1/17/21,303
325,1/18/21,411
326,1/19/21,697
327,1/20/21,3007
328,1/21/21,1232
329,1/22/21,1547
330,1/23/21,868
331,1/24/21,367
332,1/25/21,311
333,1/26/21,1895
334,1/27/21,1200
335,1/28/21,1209
336,1/29/21,1321
337,1/30/21,1054
338,1/31/21,280
339,2/1/21,1811
340,2/2/21,2225
341,2/3/21,1147
342,2/4/21,831
343,2/5/21,881
344,2/6/21,775
345,2/7/21,199
346,2/8/21,260
347,2/9/21,1125
348,2/10/21,818
349,2/11/21,561
350,2/12/21,571
351,2/13/21,485
352,2/14/21,-5
353,2/15/21,0
354,2/16/21,73
355,2/17/21,13
356,2/18/21,7
357,2/19/21,2
358,2/20/21,6
359,2/21/21,0
360,2/22/21,275
361,2/23/21,608
362,2/24/21,497
363,2/25/21,316
364,2/26/21,278
365,2/27/21,366
366,2/28/21,255
367,3/1/21,64
368,3/2/21,1462
369,3/3/21,348
370,3/4/21,245
371,3/5/21,171
372,3/6/21,208
373,3/7/21,60
374,3/8/21,148
375,3/9/21,309
376,3/10/21,196
377,3/11/21,309
378,3/12/21,315
379,3/13/21,186
380,3/14/21,79
381,3/15/21,95
382,3/16/21,424
383,3/17/21,218
384,3/18/21,128
385,3/19/21,192
386,3/20/21,151
387,3/21/21,97
388,3/22/21,108
389,3/23/21,324
390,3/24/21,159
391,3/25/21,198
392,3/26/21,231
393,3/27/21,148
394,3/28/21,167
395,3/29/21,110
396,3/30/21,316
397,3/31/21,158
398,4/1/21,219
399,4/2/21,217
400,4/3/21,114
401,4/4/21,71
402,4/5/21,19
403,4/6/21,463
404,4/7/21,237
405,4/8/21,235
406,4/9/21,263
407,4/10/21,173
408,4/11/21,140
409,4/12/21,216
410,4/13/21,453
411,4/14/21,201
412,4/15/21,273
413,4/16/21,192
414,4/17/21,186
415,4/18/21,136
416,4/19/21,83
417,4/20/21,398
418,4/21/21,343
419,4/22/21,194
420,4/23/21,177
421,4/24/21,186
422,4/25/21,53
423,4/26/21,100
424,4/27/21,398
425,4/28/21,227
426,4/29/21,192
427,4/30/21,228
428,5/1/21,247
429,5/2/21,63
430,5/3/21,81
431,5/4/21,328
432,5/5/21,122
433,5/6/21,172
434,5/7/21,157
435,5/8/21,161
436,5/9/21,67
437,5/10/21,27
438,5/11/21,324
439,5/12/21,142
440,5/13/21,134
441,5/14/21,135
442,5/15/21,111
443,5/16/21,0
444,5/17/21,17
445,5/18/21,250
446,5/19/21,93
447,5/20/21,134
448,5/21/21,82
449,5/22/21,51
450,5/23/21,0
451,5/24/21,35
452,5/25/21,114
453,5/26/21,127
454,5/27/21,74
455,5/28/21,77
456,5/29/21,29
457,5/30/21,0
458,5/31/21,0
459,6/1/21,0
460,6/2/21,65
461,6/3/21,97
462,6/4/21,49
463,6/5/21,339
464,6/6/21,0
465,6/7/21,10
466,6/8/21,150
467,6/9/21,97
468,6/10/21,47
469,6/11/21,50
470,6/12/21,11
471,6/13/21,0
472,6/14/21,11
473,6/15/21,33
474,6/16/21,183
475,6/17/21,44
476,6/18/21,48
477,6/19/21,2
478,6/20/21,0
479,6/21/21,8
480,6/22/21,165
481,6/23/21,111
482,6/24/21,45
483,6/25/21,49
484,6/26/21,70
485,6/27/21,0
486,6/28/21,8
487,6/29/21,178
488,6/30/21,115
489,7/1/21,49
490,7/2/21,71
491,7/3/21,64
492,7/4/21,-1
493,7/5/21,15
494,7/6/21,127
495,7/7/21,86
496,7/8/21,177
497,7/9/21,112
498,7/10/21,112
499,7/11/21,0
500,7/12/21,19
501,7/13/21,482
502,7/14/21,320
503,7/15/21,254
504,7/16/21,290
505,7/17/21,258
506,7/18/21,0
507,7/19/21,0
508,7/20/21,558
509,7/21/21,397
510,7/22/21,381
511,7/23/21,597
512,7/24/21,518
513,7/25/21,0
514,7/26/21,81
515,7/27/21,1208
516,7/28/21,684
517,7/29/21,996
518,7/30/21,802
519,7/31/21,1012
520,8/1/21,0
521,8/2/21,150
522,8/3/21,2118
523,8/4/21,1254
524,8/5/21,1144
525,8/6/21,1075
526,8/7/21,876
527,8/8/21,0
528,8/9/21,141
529,8/10/21,1675
530,8/11/21,1252
531,8/12/21,1028
532,8/13/21,1111
533,8/14/21,1186
534,8/15/21,0
535,8/16/21,104
536,8/17/21,2318
537,8/18/21,1576
538,8/19/21,1502
539,8/20/21,1290
540,8/21/21,1193
541,8/22/21,0
542,8/23/21,69
543,8/24/21,1597
544,8/25/21,1321
545,8/26/21,1109
546,8/27/21,1025
547,8/28/21,1421
548,8/29/21,0
549,8/30/21,116
550,8/31/21,2308
551,9/1/21,1596
552,9/2/21,1461
553,9/3/21,1648
554,9/4/21,1330
555,9/5/21,0
556,9/6/21,159
557,9/7/21,98
558,9/8/21,2413
559,9/9/21,1757
560,9/10/21,1819
561,9/11/21,1197
562,9/12/21,0
563,9/13/21,131
564,9/14/21,1320
565,9/15/21,1380
566,9/16/21,1384
567,9/17/21,783
568,9/18/21,846
