,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,0
25,3/13/20,0
26,3/14/20,0
27,3/15/20,0
28,3/16/20,0
29,3/17/20,0
30,3/18/20,0
31,3/19/20,0
32,3/20/20,0
33,3/21/20,0
34,3/22/20,0
35,3/23/20,0
36,3/24/20,0
37,3/25/20,0
38,3/26/20,1
39,3/27/20,0
40,3/28/20,0
41,3/29/20,0
42,3/30/20,1
43,3/31/20,0
44,4/1/20,1
45,4/2/20,0
46,4/3/20,1
47,4/4/20,0
48,4/5/20,2
49,4/6/20,1
50,4/7/20,1
51,4/8/20,0
52,4/9/20,1
53,4/10/20,0
54,4/11/20,0
55,4/12/20,1
56,4/13/20,0
57,4/14/20,1
58,4/15/20,3
59,4/16/20,0
60,4/17/20,4
61,4/18/20,1
62,4/19/20,0
63,4/20/20,0
64,4/21/20,0
65,4/22/20,1
66,4/23/20,2
67,4/24/20,1
68,4/25/20,1
69,4/26/20,2
70,4/27/20,0
71,4/28/20,2
72,4/29/20,0
73,4/30/20,0
74,5/1/20,1
75,5/2/20,0
76,5/3/20,1
77,5/4/20,2
78,5/5/20,0
79,5/6/20,0
80,5/7/20,1
81,5/8/20,3
82,5/9/20,1
83,5/10/20,2
84,5/11/20,1
85,5/12/20,0
86,5/13/20,1
87,5/14/20,1
88,5/15/20,2
89,5/16/20,0
90,5/17/20,0
91,5/18/20,2
92,5/19/20,1
93,5/20/20,0
94,5/21/20,1
95,5/22/20,2
96,5/23/20,0
97,5/24/20,0
98,5/25/20,1
99,5/26/20,1
100,5/27/20,0
101,5/28/20,1
102,5/29/20,1
103,5/30/20,0
104,5/31/20,0
105,6/1/20,1
106,6/2/20,2
107,6/3/20,2
108,6/4/20,1
109,6/5/20,1
110,6/6/20,1
111,6/7/20,1
112,6/8/20,0
113,6/9/20,0
114,6/10/20,0
115,6/11/20,2
116,6/12/20,3
117,6/13/20,2
118,6/14/20,0
119,6/15/20,1
120,6/16/20,1
121,6/17/20,3
122,6/18/20,1
123,6/19/20,1
124,6/20/20,0
125,6/21/20,0
126,6/22/20,1
127,6/23/20,1
128,6/24/20,2
129,6/25/20,0
130,6/26/20,2
131,6/27/20,0
132,6/28/20,2
133,6/29/20,2
134,6/30/20,5
135,7/1/20,2
136,7/2/20,3
137,7/3/20,2
138,7/4/20,4
139,7/5/20,2
140,7/6/20,5
141,7/7/20,10
142,7/8/20,5
143,7/9/20,8
144,7/10/20,4
145,7/11/20,5
146,7/12/20,5
147,7/13/20,3
148,7/14/20,7
149,7/15/20,8
150,7/16/20,14
151,7/17/20,7
152,7/18/20,5
153,7/19/20,7
154,7/20/20,5
155,7/21/20,6
156,7/22/20,10
157,7/23/20,9
158,7/24/20,2
159,7/25/20,7
160,7/26/20,7
161,7/27/20,5
162,7/28/20,7
163,7/29/20,9
164,7/30/20,4
165,7/31/20,7
166,8/1/20,4
167,8/2/20,11
168,8/3/20,3
169,8/4/20,2
170,8/5/20,4
171,8/6/20,3
172,8/7/20,8
173,8/8/20,3
174,8/9/20,3
175,8/10/20,5
176,8/11/20,3
177,8/12/20,3
178,8/13/20,7
179,8/14/20,3
180,8/15/20,2
181,8/16/20,2
182,8/17/20,1
183,8/18/20,2
184,8/19/20,3
185,8/20/20,3
186,8/21/20,2
187,8/22/20,1
188,8/23/20,2
189,8/24/20,2
190,8/25/20,1
191,8/26/20,3
192,8/27/20,2
193,8/28/20,0
194,8/29/20,3
195,8/30/20,3
196,8/31/20,0
197,9/1/20,1
198,9/2/20,1
